DisplayName = J-35
AddDisplayName = zh_CN, 歼-35
AddDisplayName = en_US, J-35
MaxHp = 350

Category = M.A
ItemID = 28705
HUD = JET
ThirdPersonDist = 25
Speed = 2.0
MobilityPitch = 1
MobilityRoll = 2
MobilityYaw = 1
ThrottleUpDown = 0.6

Gravity = -0.038
motionfactor = 0.965
MaxFuel = 1800
FuelConsumption = 1.0
VariableSweepWing = true
SweepWingSpeed = 0.9

CameraPosition = 0.00, 1.2, -0.7212
EnableGunnerMode = true
AutoPilotRot = 0
EnableNightVision = true
EnableEntityRadar = true
EnableEjectionSeat = true
AddSeat = 0.00,  1.7,  1.72

ParticlesScale = 0.7
EnableSeaSurfaceParticle = true
AddExhaustFlame = Exhaustflame, Exhaustflame_blue, 0.9774, 1.635, -11, -1, 0, 0, 0, 1
AddExhaustFlame = Exhaustflame, Exhaustflame_blue, -0.9774, 1.635, -11, -1, 0, 0, 0, 1

AddPartWeaponBay = JET_J35_IRM/ JET_J35_AAM_ARM,  1.303, 0.9281,-3.058,  -0, -0, 1.000,  80

ArmorMinDamage = 12
DamageFactor = 0.0
engineShutdownThreshold = 0
explosionsizebycrash = 10
BoundingBox = 0.0, 2.087, -4.409,  4.464, 3.025, 11.011, 1.0, DEFAULT, 机身
BoundingBox = 0.0, 2.447, 3.442,  2.198, 2.698, 4.835, 1.0, DEFAULT, 机身
BoundingBox = 0.0, 2.102, -11.105,  2.198, 2.177, 2.43, 1.5, DEFAULT, 引擎
BoundingBox = -2.699, 2.103, -11.493,  2.85, 0.651, 3.102, 1.0, DEFAULT, 机身
BoundingBox = 2.699, 2.103, -11.493,  2.85, 0.651, 3.102, 1.0, DEFAULT, 机身
BoundingBox = -4.53, 2.103, -6.622,  4.442, 1.015, 4.835, 1.0, DEFAULT, 机身
BoundingBox = 4.53, 2.103, -6.622,  4.442, 1.015, 4.835, 1.0, DEFAULT, 机身
EntityWidth = 0.85
EntityHeight = 0.85

FlareType = 9
hasDIRCM = true
HasChaff = true
ChaffUseTime = 50
ChaffWaitTime = 250

RadarType = ADVANCED_AA
NameOnAdvancedAARadar = J35
NameOnModernAARadar = 
NameOnEarlyAARadar = 
NameOnModernASRadar = 
NameOnEarlyASRadar = 
enablerwr = true

hasMaintenance = true

;Parts
AddPartwing = 0.00,  1.851,-8.339,  1,0, 0, 15

AddPartSteeringWheel = 3.383, 1.931,-8.344, 1, 0, 0.0,   -15
AddPartSteeringWheel = -3.383, 1.931,-8.344,  -1, 0, 0.0,   -15
AddPartSteeringWheel = 2.24, 1.961,-10.98, 1, 0, 0.0,   -15
AddPartSteeringWheel = -2.24, 1.961,-10.98,  -1, 0, 0.0,   -15
AddPartSteeringWheel = -0.5075,1.921,2.073, 0, 0, 1,   -10
AddPartSteeringWheel = 3.1802,4.6939,-12.5474,-1.0747,-2.1236,1.5561, 20
AddPartSteeringWheel = -3.1802,4.6939,-12.5474,1.0747,-2.1236,1.5561, 20

AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40
AddPartThrottle = 0.5545, 1.896, 2.127,  1,0,0.00, 40

AddPartThrottle = 0.9775,2.1042,-11.8108,0.2471,-0.0718,-0.0009,6
AddPartThrottle = 1.2246,2.0324,-11.8118,0.1826,-0.1874,-0.0024,6
AddPartThrottle = 1.2246,2.0324,-11.8118,0.1826,-0.1874,-0.0024,6
AddPartThrottle = 1.393,1.3349,-11.8205,0.0766,0.2559,0.0032,-6
AddPartThrottle = 1.2057,1.1557,-11.8228,0.1873,0.1792,0.0023,-6
AddPartThrottle = 0.955,1.0936,-11.8236,0.2507,0.0621,0.0008,-6
AddPartThrottle = 0.7051,1.168,-11.8226,0.2499,-0.0744,-0.0009,-6
AddPartThrottle = 0.5269,1.3583,-11.8202,0.1782,-0.1903,-0.0024,-6
AddPartThrottle = 0.4664,1.6087,-11.8171,0.0605,-0.2504,-0.0032,-6
AddPartThrottle = 0.5392,1.8626,-11.8139,-0.0727,-0.2539,-0.0032,-6
AddPartThrottle = 0.5392,1.8626,-11.8139,0.1879,0.1809,0.0023,6
AddPartThrottle = 0.7271,2.0435,-11.8116,0.2504,0.0607,0.0008,6

AddPartThrottle = 0.866,2.0633,-11.7906,0.2066,0.0,0.0,6
AddPartThrottle = 1.2892,1.9499,-11.7906,-0.1789,0.1033,0.0,-6
AddPartThrottle = 1.42,1.7434,-11.7906,-0.1033,0.1789,0.0,-6
AddPartThrottle = 1.4301,1.4991,-11.7906,0.0,0.2066,0.0,-6
AddPartThrottle = 1.3167,1.2826,-11.7906,0.1033,0.1789,0.0,-6
AddPartThrottle = 1.1102,1.1517,-11.7906,0.1789,0.1033,0.0,-6
AddPartThrottle = 0.866,1.1416,-11.7906,0.2066,0.0,0.0,-6
AddPartThrottle = 0.8283,1.1517,-11.7906,-0.1789,0.1033,0.0,6
AddPartThrottle = 0.6218,1.2826,-11.7906,-0.1033,0.1789,0.0,6
AddPartThrottle = 0.5084,1.4991,-11.7906,0.0,0.2066,0.0,6
AddPartThrottle = 0.5185,1.7434,-11.7906,0.1033,0.1789,0.0,6
AddPartThrottle = 0.6494,1.9499,-11.7906,0.1789,0.1033,0.0,6

AddPartThrottle = -0.9585,2.1042,-11.8108,0.2471,-0.0718,-0.0009,6
AddPartThrottle = -0.7114,2.0324,-11.8118,0.1826,-0.1874,-0.0024,6
AddPartThrottle = -0.7114,2.0324,-11.8118,0.1826,-0.1874,-0.0024,6
AddPartThrottle = -0.5430,1.3349,-11.8205,0.0766,0.2559,0.0032,-6
AddPartThrottle = -0.7303,1.1557,-11.8228,0.1873,0.1792,0.0023,-6
AddPartThrottle = -0.9810,1.0936,-11.8236,0.2507,0.0621,0.0008,-6
AddPartThrottle = -1.2309,1.168,-11.8226,0.2499,-0.0744,-0.0009,-6
AddPartThrottle = -1.4091,1.3583,-11.8202,0.1782,-0.1903,-0.0024,-6
AddPartThrottle = -1.4696,1.6087,-11.8171,0.0605,-0.2504,-0.0032,-6
AddPartThrottle = -1.3968,1.8626,-11.8139,-0.0727,-0.2539,-0.0032,-6
AddPartThrottle = -1.3968,1.8626,-11.8139,0.1879,0.1809,0.0023,6
AddPartThrottle = -1.2089,2.0435,-11.8116,0.2504,0.0607,0.0008,6
AddPartThrottle = -1.0700,2.0633,-11.7906,0.2066,0.0,0.0,6
AddPartThrottle = -0.6468,1.9499,-11.7906,-0.1789,0.1033,0.0,-6
AddPartThrottle = -0.5160,1.7434,-11.7906,-0.1033,0.1789,0.0,-6
AddPartThrottle = -0.5059,1.4991,-11.7906,0.0,0.2066,0.0,-6
AddPartThrottle = -0.6193,1.2826,-11.7906,0.1033,0.1789,0.0,-6
AddPartThrottle = -0.8258,1.1517,-11.7906,0.1789,0.1033,0.0,-6
AddPartThrottle = -1.0700,1.1416,-11.7906,0.2066,0.0,0.0,-6
